HW1,HW2,HW3,Midterm,HW4,HW5,Final,Average_HW,Overall,C_or_better
83,84,83,91,83,87,150,84,92.85,1
69,73,78,71,74,78,132,74.4,78.65,1
68,63,72,58,65,56,42,64.8,47.7,0
82,79,77,70,0,75,110,62.6,69.48333333,0
87,81,75,75,65,0,128,61.6,75.78333333,1
86,86,84,61,79,86,123,84.2,75.2,1
69,79,80,79,86,87,130,80.2,82.36666667,1
56,65,62,96,0,64,120,49.4,77.95,1
87,95,100,95,100,100,124,96.4,90.41666667,1
0,60,54,45,60,0,54,34.8,38.85,0
59,0,63,72,69,78,119,53.8,70.38333333,1
88,90,100,100,100,100,125,95.6,92.23333333,1
93,96,94,94,100,99,150,96.4,97,1
90,82,84,94,75,66,143,79.4,90.88333333,1
95,96,86,88,88,97,95,92.4,79.23333333,1
55,60,56,48,50,0,78,44.2,48.65,0
82,73,74,87,65,71,104,73,76.43333333,1
77,72,69,78,75,67,115,72,75.96666667,1
79,73,74,65,72,78,118,75.2,73.01666667,1
90,92,86,90,84,92,133,88.8,89.16666667,1
78,75,70,91,70,77,124,74,83.41666667,1
65,69,71,53,71,66,62,68.4,52.18333333,0
72,66,0,84,62,68,135,53.6,78.8,1
90,90,82,81,76,0,91,67.6,69.51666667,0
68,62,66,56,71,73,93,68,61.4,0
0,85,88,69,91,85,93,69.8,66.4,0
78,74,0,56,75,78,84,61,57.25,0
78,68,62,87,65,61,129,66.8,81.55,1
84,87,94,100,100,98,120,92.6,90.15,1
86,82,81,100,81,81,93,82.2,80.35,1
79,78,70,73,79,86,121,78.4,77.41666667,1
62,63,70,85,75,85,110,71,76.83333333,1
92,93,0,100,93,100,145,75.6,92.56666667,1
93,90,94,82,88,79,137,88.8,87.43333333,1
85,93,90,77,90,86,145,88.8,87.81666667,1
65,0,61,70,0,57,106,36.6,61.91666667,0
88,85,94,72,100,93,150,92,88.2,1
66,74,74,58,75,69,101,71.6,65.13333333,0
90,87,97,100,88,82,88,88.8,80.66666667,1
0,82,84,64,84,91,132,68.2,74.65,1
86,80,84,100,80,71,150,80.2,95.05,1
0,0,75,96,79,74,115,45.6,75.66666667,1
77,69,60,70,56,0,110,52.4,66.93333333,0
57,56,63,49,56,57,67,57.8,49.46666667,0
87,84,93,96,83,89,150,87.2,95.4,1
74,72,75,74,76,71,93,73.6,69.1,0
99,98,89,73,92,94,84,94.4,71.55,1
86,87,77,87,69,61,127,76,83.31666667,1
84,89,85,87,84,77,133,83.8,86.86666667,1
76,80,0,87,82,88,113,65.2,76.88333333,1
96,100,100,91,93,99,120,97.6,88.25,1
60,51,55,42,50,44,90,52,51.7,0
90,96,100,100,96,94,150,95.2,98.8,1
92,86,76,75,0,75,92,65.8,67.23333333,0
45,41,48,42,46,0,57,36,38.9,0
0,52,60,47,57,65,82,46.8,50.01666667,0
91,93,91,86,0,87,125,72.4,81.53333333,1
84,88,0,79,100,98,130,74,80.81666667,1
61,60,0,100,61,67,107,49.8,75.98333333,1
85,91,91,96,88,85,142,88,93.46666667,1
94,88,92,65,99,91,116,92.8,76.88333333,1
72,0,67,57,68,70,88,55.4,57.26666667,0
53,49,42,57,0,54,29,39.6,37.58333333,0
91,96,93,80,100,99,100,95.8,78.61666667,1
65,72,70,73,61,0,103,53.6,66.41666667,0
68,59,49,67,41,44,104,52.2,64.23333333,0
98,97,100,82,95,98,133,97.6,88.56666667,1
77,79,80,62,71,68,92,75,64.98333333,0
80,77,70,57,75,75,64,75.4,55.86666667,0
70,70,74,74,83,75,124,74.4,77.56666667,1
73,74,83,78,91,91,116,82.4,78.83333333,1
0,66,73,58,66,71,59,55.2,49.83333333,0
98,94,92,87,83,88,107,91,81.73333333,1
91,98,98,88,100,92,94,95.8,79.81666667,1
93,99,100,98,93,85,150,94,97.8,1
72,73,75,79,81,84,117,77,78.1,1
88,85,90,77,87,79,122,85.8,80.93333333,1
0,62,68,82,77,78,102,57,70.15,1
92,90,91,87,81,82,136,87.2,88.51666667,1
66,68,66,54,58,60,82,63.6,56.66666667,0
75,66,59,62,58,66,77,64.8,58.43333333,0
65,72,64,57,73,69,94,68.6,62.16666667,0
92,99,99,99,100,100,150,98,99.15,1
83,87,80,75,74,0,66,64.8,60.05,0
86,83,74,55,69,71,135,76.6,74.4,1
64,69,68,58,75,81,55,71.4,52.81666667,0
89,80,73,64,0,0,102,48.4,61.7,0
74,75,77,86,84,87,128,79.4,84.08333333,1
0,59,0,53,70,80,61,41.8,45.26666667,0
72,65,65,48,63,63,85,65.6,55.86666667,0
75,71,62,78,67,64,128,67.8,78.38333333,1
96,100,100,90,95,94,140,97,93.08333333,1
82,74,0,92,74,66,91,59.2,71.26666667,1
83,89,81,63,79,82,122,82.8,75.28333333,1
71,73,68,52,63,61,97,67.2,60.86666667,0
82,84,91,86,92,100,124,89.8,85.61666667,1
71,75,73,59,67,58,97,68.8,63.71666667,0
82,76,71,73,62,55,88,69.2,66.31666667,0
89,97,96,75,99,100,128,96.2,84.43333333,1