batch,time,absorbance,substrate,inhibitor
SML-1 A1,0,0.05955353,0.1,no
SML-1 A1,0.487844735,0.072068274,0.1,no
SML-1 A1,0.965630353,0.087537795,0.1,no
SML-1 A1,1.445092916,0.100682594,0.1,no
SML-1 A1,1.924554825,0.116285585,0.1,no
SML-1 A1,2.405693531,0.12785317,0.1,no
SML-1 A1,2.883479595,0.141369373,0.1,no
SML-1 A1,3.361265421,0.151600033,0.1,no
SML-1 A1,3.840727806,0.16561839,0.1,no
SML-1 A1,4.318513393,0.175271869,0.1,no
SML-1 A1,4.796299458,0.186465368,0.1,no
SML-1 A1,5.275761604,0.198790327,0.1,no
SML-2 A2,0.021793799,0.091840819,0.2,no
SML-2 A2,0.499579549,0.115862802,0.2,no
SML-2 A2,0.977365613,0.14109546,0.2,no
SML-2 A2,1.456827879,0.164589956,0.2,no
SML-2 A2,1.936290145,0.187579855,0.2,no
SML-2 A2,2.417428493,0.212994531,0.2,no
SML-2 A2,2.895214558,0.23733668,0.2,no
SML-2 A2,3.373000383,0.257703781,0.2,no
SML-2 A2,3.852462769,0.281963617,0.2,no
SML-2 A2,4.330248356,0.30400759,0.2,no
SML-2 A2,4.80803442,0.323484063,0.2,no
SML-2 A2,5.287497044,0.343708187,0.2,no
SML-3 A3,0.033528786,0.120822042,0.3,no
SML-3 A3,0.511314809,0.155760303,0.3,no
SML-3 A3,0.989100695,0.187763691,0.3,no
SML-3 A3,1.46856308,0.221985295,0.3,no
SML-3 A3,1.948025107,0.257453591,0.3,no
SML-3 A3,2.429163933,0.290234625,0.3,no
SML-3 A3,2.90694952,0.32559222,0.3,no
SML-3 A3,3.384735584,0.355807036,0.3,no
SML-3 A3,3.864197731,0.389617682,0.3,no
SML-3 A3,4.341983318,0.42213425,0.3,no
SML-3 A3,4.819769382,0.45114404,0.3,no
SML-3 A3,5.299232006,0.479751945,0.3,no
SML-4 A4,0.04526405,0.17429091,0.5,no
SML-4 A4,0.523049772,0.225014746,0.5,no
SML-4 A4,1.000835776,0.27634728,0.5,no
SML-4 A4,1.4802984,0.328497887,0.5,no
SML-4 A4,1.959760189,0.381711066,0.5,no
SML-4 A4,2.440898895,0.434290856,0.5,no
SML-4 A4,2.918684959,0.489883006,0.5,no
SML-4 A4,3.396470547,0.540926755,0.5,no
SML-4 A4,3.875932932,0.593688726,0.5,no
SML-4 A4,4.353718758,0.646391928,0.5,no
SML-4 A4,4.831504822,0.697256088,0.5,no
SML-4 A4,5.310966969,0.746992946,0.5,no
SML-5 A5,0.056999039,0.243493855,1,no
SML-5 A5,0.534784854,0.318440169,1,no
SML-5 A5,1.012570858,0.396645486,1,no
SML-5 A5,1.492033005,0.475240678,1,no
SML-5 A5,1.971495271,0.561357379,1,no
SML-5 A5,2.452633858,0.64890182,1,no
SML-5 A5,2.930419922,0.738519251,1,no
SML-5 A5,3.408205748,0.823925555,1,no
SML-5 A5,3.887668133,0.913425207,1,no
SML-5 A5,4.365454197,1.005088687,1,no
SML-5 A5,4.843239784,1.093370914,1,no
SML-5 A5,5.322701931,1.172486067,1.5,no
SML-6 A6,0.068734169,0.282127589,1.5,no
SML-6 A6,0.546519995,0.370102584,1.5,no
SML-6 A6,1.02430594,0.459611505,1.5,no
SML-6 A6,1.503768206,0.554206014,1.5,no
SML-6 A6,1.983230472,0.652740598,1.5,no
SML-6 A6,2.464369059,0.755766869,1.5,no
SML-6 A6,2.942154884,0.85562098,1.5,no
SML-6 A6,3.41994071,0.961664796,1.5,no
SML-6 A6,3.899403095,1.067064404,1.5,no
SML-6 A6,4.377189159,1.167381644,1.5,no
SML-6 A6,4.854974747,1.270752907,1.5,no
SML-6 A6,5.334436893,1.370360136,1.5,no
SML-7 A7,0.080469266,0.297320783,2,no
SML-7 A7,0.558255076,0.390167981,2,no
SML-7 A7,1.036041021,0.485411137,2,no
SML-7 A7,1.515503287,0.587122738,2,no
SML-7 A7,1.994965434,0.694520712,2,no
SML-7 A7,2.476104021,0.805731475,2,no
SML-7 A7,2.953890085,0.912519693,2,no
SML-7 A7,3.431676388,1.025256395,2,no
SML-7 A7,3.911138296,1.13570559,2,no
SML-7 A7,4.388924599,1.235241175,2,no
SML-7 A7,4.866709709,1.353800893,2,no
SML-7 A7,5.346171856,1.459241748,2,no
SML-8 A8,0.092204332,0.325999558,3,no
SML-8 A8,0.569990218,0.429986328,3,no
SML-8 A8,1.047776222,0.536225975,3,no
SML-8 A8,1.527238488,0.647145212,3,no
SML-8 A8,2.006700754,0.762161672,3,no
SML-8 A8,2.487839222,0.879766226,3,no
SML-8 A8,2.965625286,0.999824286,3,no
SML-8 A8,3.443411112,1.120617986,3,no
SML-8 A8,3.922873259,1.240538359,3,no
SML-8 A8,4.400659084,1.347700477,3,no
SML-8 A8,4.878445148,1.475993514,3,no
SML-8 A8,5.357907295,1.56774807,3,no
SML-16 B8,0.108969294,0.214215994,3,yes
SML-16 B8,0.58675462,0.272253364,3,yes
SML-16 B8,1.064540386,0.325256676,3,yes
SML-16 B8,1.544002771,0.366912425,3,yes
SML-16 B8,2.023464918,0.41381532,3,yes
SML-16 B8,2.504603624,0.452801287,3,yes
SML-16 B8,2.982390165,0.490072131,3,yes
SML-16 B8,3.460175514,0.526367962,3,yes
SML-16 B8,3.939637661,0.563192725,3,yes
SML-16 B8,4.417423725,0.596289098,3,yes
SML-16 B8,4.895209312,0.628430307,3,yes
SML-16 B8,5.374671459,0.658269405,3,yes
SML-15 B7,0.129086107,0.205721572,2,yes
SML-15 B7,0.606871843,0.259054303,2,yes
SML-15 B7,1.084657669,0.30830428,2,yes
SML-15 B7,1.564120054,0.354249716,2,yes
SML-15 B7,2.04525876,0.393334508,2,yes
SML-15 B7,2.524720669,0.436086714,2,yes
SML-15 B7,3.002506733,0.47510311,2,yes
SML-15 B7,3.480292797,0.510877669,2,yes
SML-15 B7,3.959754944,0.547388554,2,yes
SML-15 B7,4.437540531,0.579570532,2,yes
SML-15 B7,4.915326595,0.610364914,2,yes
SML-15 B7,5.396466255,0.64046371,2,yes
SML-14 B6,0.140821129,0.188245982,1.5,yes
SML-14 B6,0.618606925,0.239755318,1.5,yes
SML-14 B6,1.09639287,0.286386848,1.5,yes
SML-14 B6,1.575855017,0.330810249,1.5,yes
SML-14 B6,2.056993723,0.371403933,1.5,yes
SML-14 B6,2.536456108,0.411093265,1.5,yes
SML-14 B6,3.014241695,0.448185086,1.5,yes
SML-14 B6,3.49202776,0.487173349,1.5,yes
SML-14 B6,3.971489906,0.52117008,1.5,yes
SML-14 B6,4.449276447,0.555378437,1.5,yes
SML-14 B6,4.927062035,0.588620007,1.5,yes
SML-14 B6,5.408200741,0.619927764,1.5,yes
SML-13 B5,0.15255636,0.168103457,1,yes
SML-13 B5,0.630342126,0.213136599,1,yes
SML-13 B5,1.108127832,0.25167498,1,yes
SML-13 B5,1.587590098,0.291176528,1,yes
SML-13 B5,2.068728685,0.326997638,1,yes
SML-13 B5,2.548191309,0.364510566,1,yes
SML-13 B5,3.025977135,0.398138493,1,yes
SML-13 B5,3.503762722,0.433344096,1,yes
SML-13 B5,3.983225346,0.465909243,1,yes
SML-13 B5,4.46101141,0.500316978,1,yes
SML-13 B5,4.938796997,0.528969824,1,yes
SML-13 B5,5.419935703,0.561547697,0.5,yes
SML-12 B4,0.164291382,0.120712481,0.5,yes
SML-12 B4,0.642077148,0.157702848,0.5,yes
SML-12 B4,1.119863033,0.186473668,0.5,yes
SML-12 B4,1.599325299,0.217112884,0.5,yes
SML-12 B4,2.080464125,0.247095823,0.5,yes
SML-12 B4,2.559926033,0.277255476,0.5,yes
SML-12 B4,3.037712097,0.307437688,0.5,yes
SML-12 B4,3.515497923,0.336827099,0.5,yes
SML-12 B4,3.994960308,0.365141332,0.5,yes
SML-12 B4,4.472746372,0.394246906,0.5,yes
SML-12 B4,4.95053196,0.4222835,0.5,yes
SML-12 B4,5.431670666,0.450205535,0.5,yes
SML-11 B3,0.176026493,0.089369901,0.3,yes
SML-11 B3,0.65381223,0.111087009,0.3,yes
SML-11 B3,1.131598115,0.136669606,0.3,yes
SML-11 B3,1.6110605,0.158393264,0.3,yes
SML-11 B3,2.092198849,0.182430372,0.3,yes
SML-11 B3,2.571661472,0.204860821,0.3,yes
SML-11 B3,3.049447298,0.227187648,0.3,yes
SML-11 B3,3.527233124,0.2479987,0.3,yes
SML-11 B3,4.006695747,0.270924807,0.3,yes
SML-11 B3,4.484481335,0.291726053,0.3,yes
SML-11 B3,4.962266922,0.311067283,0.3,yes
SML-11 B3,5.443405628,0.332692504,0.3,yes
SML-10 B2,0.18776153,0.062841192,0.2,yes
SML-10 B2,0.665547311,0.079752259,0.2,yes
SML-10 B2,1.143333673,0.096614555,0.2,yes
SML-10 B2,1.622795463,0.112934426,0.2,yes
SML-10 B2,2.10393405,0.127475262,0.2,yes
SML-10 B2,2.583396673,0.144940391,0.2,yes
SML-10 B2,3.061182499,0.159951642,0.2,yes
SML-10 B2,3.538968086,0.175273195,0.2,yes
SML-10 B2,4.018430233,0.191087082,0.2,yes
SML-10 B2,4.496216297,0.20617047,0.2,yes
SML-10 B2,4.974001884,0.222093687,0.2,yes
SML-10 B2,5.455141068,0.235417783,0.2,yes
SML-9 B1,0.199498206,0.036244214,0.1,yes
SML-9 B1,0.677282572,0.045146305,0.1,yes
SML-9 B1,1.155068278,0.054418478,0.1,yes
SML-9 B1,1.634530783,0.063880436,0.1,yes
SML-9 B1,2.11566925,0.071268529,0.1,yes
SML-9 B1,2.595131636,0.081449404,0.1,yes
SML-9 B1,3.072917461,0.088824794,0.1,yes
SML-9 B1,3.550703287,0.098149739,0.1,yes
SML-9 B1,4.030165672,0.106544517,0.1,yes
SML-9 B1,4.50795126,0.114290029,0.1,yes
SML-9 B1,4.985737324,0.120855004,0.1,yes
SML-9 B1,5.46687603,0.130244225,0.1,yes